Marca temporal,Ingrese la pregunta,Respuesta 1,Respuesta 2,Respuesta 3,¿Cual es la respuesta correcta?,Materia
1,"El Estrecho de Bering separa dos continentes, ¿Cuáles son?",Asia - Europa,Asia - America,Europa - África,Respuesta 2,Geografía
2,¿Dónde se encuentran las Cataratas del Iguazú?,Argentina - Uruguay,Argentina - Bolivia,Argentina - Brasil,Respuesta 3,Geografía
3,¿Cuántos continente hay en el mundo?,6,5,7,Respuesta 1,Geografía
4,"¿En que provincia Argentina, se encuentra el Aconcagua?",Neuquén,Mendoza,San juan,Respuesta 2,Geografía
5,¿Cuál es el rio mas largo del mundo?,Rio Nilo,Rio Amazonas,Mississippi,Respuesta 2,Geografía
6,"¿En que año Cristóbal Colon, descubrió América?",1492,1592,1498,Respuesta 1,Historia
7,¿En que país se inicio la Revolución Industrial?,Francia,Gran Bretaña,Alemania,Respuesta 2,Historia
8,¿Quién invento la imprenta?,Los antiguos chinos,Johannes Gutenberg.,Thomas Edison,Respuesta 2,Historia
9,La arteria  y la vena más grande del cuerpo humano,Cava–Pulmonar  ,Coronaria–Aorta  ,Aorta—Cava  ,Respuesta 3,Biología
10,Es la parte del sistema digestivo  donde se absorben los nutrientes de los alimentos.  ,Boca,Estomago,Intestino Delgado,Respuesta 3,Biología
11,Son células sanguíneas que fagocitan y producen anticuerpos para defendernos de los gérmenes patógenos.  ,Plaquetas,Globulos Rojos,Leucocitos,Respuesta 3,Biología
12,Son los encargados de la respiración celular.  ,Ribosomas,Mitocondrias,Lisosomas,Respuesta 2,Biología
13,Las neuronas forman parte del sistema:  ,Respiratorio,Nervioso,Digestivo,Respuesta 2,Biología
14,¿Con cuántos países limita Argentina?,3,5,7,Respuesta 2,Geografía
15,¿En qué fecha se conmemora la Independencia de Argentina?,4 de julio,9 de julio,25 de mayo,Respuesta 2,Historia
16,¿Cuál de estos escritores es argentino?,Julio Cortazar,Mario Vargas Llosa,Mario Benedetti,Respuesta 1,Literatura
17,"¿Cuantas invasiones inglesas, se produjeron en el Virreinato?",3,2,1,Respuesta 2,Historia
18,"¿En que ciudad de la Argentina, se declaro la independencia?",San Rafael,Buenos Aires,San Miguel de Tucuman,Respuesta 3,Historia
19,¿En qué año se instaló la llamada dictadura cívico-militar conocida como Proceso de Reorganización Nacional?,1976,1966,1896,Respuesta 1,Historia
20,Corazón,Herd,Heard,Heart,Respuesta 3,Inglés
21,¿Como se dice 40 en ingles?,Fourty,Forty,Fourteen,Respuesta 2,Inglés
22,How are you doing?,I’m fine. ,I am reading. ,A cake. ,Respuesta 1,Inglés
23,Would you like a coffee?,"Yes, I like coffee. ","Yes, please. ",I like coffee and tea. ,Respuesta 2,Inglés
24,¿Cuántas Dragon Balls hay?,5,7,8,Respuesta 2,cultura general
25,En Dragon Ball ¿Como se llama el hermano de Goku?,Rackon,Raditz,Nappa,Respuesta 2,Cultura General
26,¿Cómo se llama el primer hijo de Goku?,Goten,Gohan,Gochan,Respuesta 2,Cultura General
27,En Dragon Ball ¿Cómo se llama la esposa de Goku?,Chi-chi,Maron,Carlote,Respuesta 1,Cultura General
28,¿Cuál es el océano más grande del mundo?,Pacifico,Indico,Atlantico,Respuesta 1,Geografia
29, ¿Quién escribió La Odisea?,Homero,Virgilio,Cervantes,Respuesta 1,Historia
30,¿Cuál es la obra más importante de la literatura en español?,El Principito,Don Quijote de la Mancha,100 años de Soledad,Respuesta 2,Literatura
31,¿Cuál es el elemento químico más abundante en la corteza terrestre?,Oxigeno,Nitrogeno,Carbono,Respuesta 1,Quimica
32, ¿Cómo se denomina al resultado de una multiplicación?,Multiplo,Resultado,Producto,Respuesta 3,Matematica
33,¿A cuánto equivale el numero Pi?,3.1614,3.416,3.1416,Respuesta 3,Matematica
34,¿Cuál es el primero de los números primos?,0,1,2,Respuesta 3,Matematica
35,¿Cómo se denomina al tipo de triángulo que tiene sus tres lados iguales?,Isósceles,Equilátero,Recto,Respuesta 2,Matematica
36,¿Cuál es el primer elemento de la Tabla periódica?,Helio,Argon,Hidrogeno,Respuesta 3,Quimica
37,¿Cómo se le denomina al centro de un átomo?,Electron,Nucleo,Proton,Respuesta 2,Quimica
38,¿Cuál es el símbolo químico del oro?,Or,Au,Ao,Respuesta 2,Quimica
39,¿En qué parte del cuerpo se produce la insulina?,Higado,Pulmones,Pancreas,Respuesta 3,Biologia
40,¿Cuántas patas tiene una araña?,6,8,10,Respuesta 2,Biologia
41,¿Cómo se llama el proceso por medio del cual las plantas obtienen su alimento?,Biosíntesos,Luminosíntesis,Fotosíntesis,Respuesta 3,Biologia
42,¿Cómo se denomina a los animales que nacen de un  huevo?,Huevíparos,Vivíparos,Ovíparos,Respuesta 3,Biologia
43,¿Cuántos huesos tiene en total un ser humano?,60,206,416,Respuesta 2,Biologia
44,¿Cuántos litros de sangre tiene una persona adulta?,Tiene entre 2 y 4 litros,Tiene entre 4 y 6 litros,Tiene 10 litros,Respuesta 2,Biologia
45,"¿Quién es el autor de la frase ""Pienso, luego existo""?",Platon,Socrates,Descartes,Respuesta 3,Cultura General
46,"La sal común está formada por dos elementos, ¿cuáles son?",Sodio y cloro,Potasio y cloro,Sodio y potasio,Respuesta 1,Quimica
47,¿Cuántos jugadores por equipo participan en un partido de voleibol?,4 jugadores,6 jugadores,8 jugadores,Respuesta 2,Educacion Fisica
48,"¿A quién se le atribuye la frase ""Solo sé que no sé nada""?",Platon,Socrates,Aristoteles,Respuesta 2,Cultura General
49,¿Cuál es la montaña más alta del continente americano?,Aconcagua,Monte Everest,Monte Fuji,Respuesta 1,Geografia
